index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
11,Reduce,"[52, 54, 62, 178, 243, 246, 249, 251, 256, 300, 302, 304, 317, 328, 371, 382, 400, 402, 1966, 1968, 2000, 2003, 2006, 2018, 2023, 2034, 2106, 2109, 2111, 2113, 2116, 2119, 2121, 2133, 2138, 2150, 2153, 2200, 2214, 2228, 2236, 2589, 2591, 2593, 2685, 2713]","{52: 2, 54: 1, 62: 1, 178: 34, 243: 31, 246: 1, 249: 15, 251: 5, 256: 2, 300: 4, 302: 8, 304: 49, 317: 1, 328: 45, 371: 2, 382: 5, 400: 23, 402: 1, 1966: 37, 1968: 1, 2000: 5, 2003: 2, 2006: 2, 2018: 9, 2023: 11, 2034: 2, 2106: 24, 2109: 1, 2111: 1, 2113: 37, 2116: 15, 2119: 1, 2121: 1, 2133: 27, 2138: 1, 2150: 15, 2153: 2, 2200: 1, 2214: 1, 2228: 1, 2236: 1, 2589: 8, 2591: 1, 2593: 2, 2685: 1, 2713: 1}",46,441,6,73.5
12,Cholesterol,"[53, 60, 66, 179, 244, 248, 252, 257, 316, 329, 370, 383, 401, 1967, 2004, 2017, 2019, 2024, 2035, 2115, 2120, 2134, 2137, 2149, 2154, 2201, 2227, 2237, 2590, 2592, 2623, 2681, 2684, 2714, 2730]","{53: 2, 60: 2, 66: 18, 179: 42, 244: 60, 248: 2, 252: 3, 257: 3, 316: 64, 329: 48, 370: 2, 383: 14, 401: 2, 1967: 38, 2004: 3, 2017: 1, 2019: 23, 2024: 14, 2035: 42, 2115: 8, 2120: 21, 2134: 22, 2137: 23, 2149: 39, 2154: 11, 2201: 17, 2227: 19, 2237: 37, 2590: 4, 2592: 1, 2623: 4, 2681: 1, 2684: 1, 2714: 1, 2730: 1}",35,593,11,53.90909090909091
13,An,"[228, 264, 266, 347, 2172, 2221]","{228: 34, 264: 29, 266: 1, 347: 8, 2172: 6, 2221: 1}",6,79,2,39.5
14,intestinal,"[205, 229, 263, 265, 267, 269, 348, 405, 1904, 1943, 1949, 2165, 2171, 2173, 2188, 2646, 2694]","{205: 98, 229: 62, 263: 4, 265: 1, 267: 57, 269: 25, 348: 23, 405: 25, 1904: 36, 1943: 41, 1949: 55, 2165: 7, 2171: 21, 2173: 2, 2188: 5, 2646: 9, 2694: 31}",17,502,10,50.2
15,operation,"[206, 230, 234, 268, 270, 1905, 1944, 1946, 1948, 1950, 2166, 2170, 2187, 2222, 2645, 2695, 2719]","{206: 47, 230: 49, 234: 7, 268: 8, 270: 65, 1905: 39, 1944: 22, 1946: 6, 1948: 7, 1950: 23, 2166: 6, 2170: 3, 2187: 11, 2222: 1, 2645: 9, 2695: 16, 2719: 34}",17,353,9,39.22222222222222
16,to,"[207, 231, 233, 235, 271, 1906, 1920, 1945, 1947, 1951, 2167, 2169, 2186, 2644, 2718]","{207: 4, 231: 2, 233: 9, 235: 9, 271: 5, 1906: 8, 1920: 1, 1945: 17, 1947: 3, 1951: 13, 2167: 2, 2169: 3, 2186: 1, 2644: 1, 2718: 11}",15,89,2,44.5
17,lower,"[208, 232, 236, 272, 274, 276, 1907, 1919, 1921, 1952, 2168, 2696]","{208: 18, 232: 17, 236: 4, 272: 29, 274: 5, 276: 12, 1907: 2, 1919: 1, 1921: 1, 1952: 1, 2168: 20, 2696: 1}",12,111,5,22.2
18,the,"[237, 273, 275, 277, 292, 1908, 1918, 1922, 1953]","{237: 3, 273: 1, 275: 9, 277: 8, 292: 11, 1908: 2, 1918: 1, 1922: 1, 1953: 1}",9,37,3,12.333333333333334
19,cholesterol,"[209, 238, 278, 293, 323, 346, 1909, 1917, 1923, 1954, 2709, 2720]","{209: 27, 238: 14, 278: 90, 293: 1, 323: 12, 346: 1, 1909: 2, 1917: 4, 1923: 2, 1954: 38, 2709: 4, 2720: 1}",12,196,11,17.818181818181817
20,of,"[279, 281, 294, 931, 1916]","{279: 1, 281: 4, 294: 1, 931: 4, 1916: 1}",5,11,2,5.5
21,heart,"[280, 295, 324, 932, 934, 1915, 2647]","{280: 43, 295: 7, 324: 4, 932: 2, 934: 32, 1915: 1, 2647: 1}",7,90,5,18.0
22,attack,"[296, 325, 933, 1910, 1914]","{296: 18, 325: 19, 933: 2, 1910: 1, 1914: 1}",5,41,6,6.833333333333333
23,patients,"[299, 326, 345, 1911, 1913]","{299: 25, 326: 3, 345: 1, 1911: 9, 1913: 1}",5,39,8,4.875
24,reduced,"[327, 1912, 2174, 2185, 2643]","{327: 15, 1912: 17, 2174: 1, 2185: 1, 2643: 1}",5,35,7,5.0
25,their,[2708],{2708: 1},1,1,5,0.2
26,risk,"[2636, 2697]","{2636: 1, 2697: 2}",2,3,4,0.75
27,for,"[2648, 2699]","{2648: 1, 2699: 1}",2,2,3,0.6666666666666666
28,another,[2184],{2184: 1},1,1,7,0.14285714285714285
29,heart,"[2223, 2707]","{2223: 1, 2707: 1}",2,2,5,0.4
30,attack,"[2175, 2642]","{2175: 1, 2642: 1}",2,2,6,0.3333333333333333
31,or,[2721],{2721: 1},1,1,2,0.5
32,death,[],{},0,0,5,0.0
33,from,[2700],{2700: 1},1,1,4,0.25
34,heart,[2224],{2224: 1},1,1,5,0.2
35,"disease,",[2722],{2722: 1},1,1,8,0.125
36,researchers,"[344, 2698]","{344: 1, 2698: 3}",2,4,11,0.36363636363636365
37,said,"[2183, 2649]","{2183: 1, 2649: 1}",2,2,4,0.5
38,today.,"[330, 343]","{330: 14, 343: 1}",2,15,6,2.5
39,The,"[332, 2176, 2706]","{332: 15, 2176: 1, 2706: 1}",3,17,3,5.666666666666667
40,"surgery,","[331, 333, 335, 337, 342, 2177, 2179, 2182, 2624, 2631, 2641, 2661, 2680, 2705, 2728, 2731]","{331: 3, 333: 10, 335: 36, 337: 3, 342: 1, 2177: 23, 2179: 13, 2182: 1, 2624: 3, 2631: 12, 2641: 1, 2661: 2, 2680: 6, 2705: 1, 2728: 13, 2731: 2}",16,130,8,16.25
41,called,"[334, 336, 338, 2178, 2625, 2630, 2632, 2650, 2660, 2662, 2673, 2679, 2704, 2727]","{334: 26, 336: 10, 338: 11, 2178: 2, 2625: 1, 2630: 10, 2632: 18, 2650: 1, 2660: 3, 2662: 18, 2673: 9, 2679: 1, 2704: 9, 2727: 1}",14,120,6,20.0
42,a,"[341, 2626, 2651, 2670, 2672, 2674, 2678, 2703, 2726]","{341: 1, 2626: 1, 2651: 1, 2670: 1, 2672: 4, 2674: 4, 2678: 1, 2703: 1, 2726: 5}",9,19,1,19.0
43,partial,"[339, 2181, 2225, 2627, 2629, 2633, 2635, 2637, 2639, 2653, 2657, 2659, 2663, 2665, 2667, 2669, 2671, 2675, 2677, 2683, 2702, 2723, 2725, 2729]","{339: 28, 2181: 1, 2225: 11, 2627: 1, 2629: 1, 2633: 16, 2635: 12, 2637: 25, 2639: 13, 2653: 9, 2657: 19, 2659: 1, 2663: 3, 2665: 3, 2667: 5, 2669: 1, 2671: 10, 2675: 1, 2677: 6, 2683: 3, 2702: 5, 2723: 2, 2725: 27, 2729: 4}",24,207,7,29.571428571428573
44,ileal,"[340, 2180, 2226, 2628, 2634, 2638, 2640, 2652, 2654, 2656, 2658, 2664, 2666, 2668, 2676, 2682, 2701, 2724]","{340: 5, 2180: 124, 2226: 23, 2628: 27, 2634: 12, 2638: 5, 2640: 12, 2652: 1, 2654: 28, 2656: 15, 2658: 85, 2664: 2, 2666: 11, 2668: 28, 2676: 5, 2682: 7, 2701: 2, 2724: 19}",18,411,5,82.2
45,"bypass,","[356, 358, 360, 2189]","{356: 1, 358: 2, 360: 2, 2189: 15}",4,20,7,2.857142857142857
46,has,"[349, 357, 359, 361]","{349: 1, 357: 6, 359: 16, 361: 2}",4,25,3,8.333333333333334
47,one,"[350, 445]","{350: 11, 445: 3}",2,14,3,4.666666666666667
48,significant,"[351, 362, 444, 446]","{351: 50, 362: 1, 444: 10, 446: 1}",4,62,11,5.636363636363637
49,drawback:,"[352, 443, 447, 2190]","{352: 38, 443: 10, 447: 1, 2190: 1}",4,50,9,5.555555555555555
50,It,[353],{353: 5},1,5,2,2.5
51,causes,"[27, 354, 439, 448]","{27: 5, 354: 12, 439: 1, 448: 1}",4,19,6,3.1666666666666665
52,chronic,"[26, 28, 355, 442, 449]","{26: 2, 28: 10, 355: 33, 442: 1, 449: 1}",5,47,7,6.714285714285714
53,diarrhea,"[21, 25, 430, 432]","{21: 16, 25: 1, 430: 1, 432: 7}",4,25,8,3.125
54,that,"[22, 24, 431, 433]","{22: 2, 24: 3, 431: 3, 433: 20}",4,28,4,7.0
55,persists,"[23, 434, 441, 450, 2191, 2620]","{23: 12, 434: 21, 441: 1, 450: 1, 2191: 2, 2620: 1}",6,38,8,4.75
56,for,"[435, 440, 2621]","{435: 6, 440: 1, 2621: 2}",3,9,3,3.0
57,years.,"[436, 451, 2622]","{436: 39, 451: 1, 2622: 1}",3,41,6,6.833333333333333
58,In,[],{},0,0,2,0.0
59,the,"[437, 2192]","{437: 6, 2192: 1}",2,7,3,2.3333333333333335
60,"operation,","[363, 438, 452]","{363: 1, 438: 29, 452: 22}",3,52,10,5.2
61,doctors,"[76, 453]","{76: 3, 453: 11}",2,14,7,2.0
62,change,"[364, 454]","{364: 1, 454: 29}",2,30,6,5.0
63,the,"[455, 459]","{455: 1, 459: 4}",2,5,3,1.6666666666666667
64,route,"[456, 458, 460, 2193]","{456: 93, 458: 13, 460: 55, 2193: 1}",4,162,5,32.4
65,of,"[457, 461, 463]","{457: 10, 461: 2, 463: 2}",3,14,2,7.0
66,the,"[462, 464]","{462: 1, 464: 31}",2,32,3,10.666666666666666
67,small,[465],{465: 6},1,6,5,1.2
68,intestine,"[367, 466, 2194]","{367: 6, 466: 46, 2194: 1}",3,53,9,5.888888888888889
69,so,[467],{467: 27},1,27,2,13.5
70,about,"[366, 468, 470, 2195]","{366: 1, 468: 15, 470: 4, 2195: 1}",4,21,5,4.2
71,one-third,"[365, 469, 471]","{365: 24, 469: 1, 471: 49}",3,74,9,8.222222222222221
72,of,[472],{472: 49},1,49,2,24.5
73,it,[473],{473: 14},1,14,2,7.0
74,is,"[474, 2197]","{474: 3, 2197: 4}",2,7,2,3.5
75,bypassed.,"[475, 2196, 2198]","{475: 50, 2196: 4, 2198: 16}",3,70,9,7.777777777777778
76,This,[],{},0,0,4,0.0
77,reduces,[2655],{2655: 1},1,1,7,0.14285714285714285
78,the,[],{},0,0,3,0.0
79,amount,[487],{487: 10},1,10,6,1.6666666666666667
80,of,"[416, 486]","{416: 2, 486: 1}",2,3,2,1.5
81,cholesterol,"[413, 417, 483, 485]","{413: 6, 417: 77, 483: 3, 485: 9}",4,95,11,8.636363636363637
82,that,"[418, 420, 424, 484]","{418: 4, 420: 3, 424: 13, 484: 4}",4,24,4,6.0
83,is,"[421, 423, 425]","{421: 6, 423: 1, 425: 41}",3,48,2,24.0
84,absorbed,"[419, 422, 426, 482]","{419: 11, 422: 60, 426: 44, 482: 1}",4,116,8,14.5
85,into,"[427, 481]","{427: 23, 481: 1}",2,24,4,6.0
86,the,[428],{428: 22},1,22,3,7.333333333333333
87,bloodstream.,"[429, 480]","{429: 42, 480: 1}",2,43,12,3.5833333333333335
88,@@,[],{},0,0,2,0.0
89,The,"[407, 409, 415, 488, 490, 492, 496, 531]","{407: 8, 409: 17, 415: 8, 488: 2, 490: 45, 492: 1, 496: 3, 531: 1}",8,85,3,28.333333333333332
90,$52,"[406, 408, 410, 414, 489, 491, 493, 495, 497, 499]","{406: 2, 408: 2, 410: 13, 414: 2, 489: 9, 491: 2, 493: 8, 495: 1, 497: 17, 499: 2}",10,58,3,19.333333333333332
91,"million,","[411, 494, 498]","{411: 26, 494: 25, 498: 3}",3,54,8,6.75
92,17-year,"[412, 523, 529, 532]","{412: 28, 523: 1, 529: 57, 532: 5}",4,91,7,13.0
93,study,"[511, 528, 530, 533]","{511: 23, 528: 1, 530: 3, 533: 108}",4,135,5,27.0
94,was,"[512, 515, 524, 535]","{512: 3, 515: 15, 524: 1, 535: 3}",4,22,3,7.333333333333333
95,conducted,"[514, 516, 519, 527, 534, 536, 539, 611, 613]","{514: 2, 516: 18, 519: 110, 527: 5, 534: 1, 536: 24, 539: 46, 611: 1, 613: 5}",9,212,9,23.555555555555557
96,on,"[518, 526, 538, 540, 612]","{518: 4, 526: 6, 538: 1, 540: 1, 612: 3}",5,15,2,7.5
97,people,"[14, 513, 517, 520, 522, 525, 537, 541]","{14: 1, 513: 1, 517: 11, 520: 40, 522: 11, 525: 10, 537: 3, 541: 44}",8,121,6,20.166666666666668
98,who,"[15, 521, 542, 544]","{15: 1, 521: 7, 542: 3, 544: 7}",4,18,3,6.0
99,had,"[16, 543, 545, 610]","{16: 5, 543: 1, 545: 29, 610: 1}",4,36,3,12.0
100,already,"[17, 546]","{17: 3, 546: 3}",2,6,7,0.8571428571428571
101,suffered,"[609, 630]","{609: 1, 630: 16}",2,17,8,2.125
102,heart,"[631, 633]","{631: 5, 633: 10}",2,15,5,3.0
103,attacks.,"[632, 634]","{632: 14, 634: 6}",2,20,8,2.5
104,The,"[635, 637, 694]","{635: 12, 637: 6, 694: 17}",3,35,3,11.666666666666666
105,approach,"[18, 20, 563, 608, 636, 638, 695, 697, 703]","{18: 3, 20: 2, 563: 1, 608: 1, 636: 8, 638: 38, 695: 16, 697: 3, 703: 8}",9,80,8,10.0
106,lengthened,"[19, 607, 639, 696, 698, 702, 704]","{19: 12, 607: 2, 639: 59, 696: 2, 698: 49, 702: 5, 704: 6}",7,135,10,13.5
107,the,"[606, 699, 701, 705]","{606: 1, 699: 4, 701: 3, 705: 1}",4,9,3,3.0
108,lives,"[605, 640, 642, 644, 700, 706]","{605: 1, 640: 5, 642: 3, 644: 31, 700: 14, 706: 40}",6,94,5,18.8
109,of,"[604, 641, 643, 645]","{604: 4, 641: 1, 643: 5, 645: 4}",4,14,2,7.0
110,people,"[562, 646, 707, 709]","{562: 1, 646: 32, 707: 35, 709: 2}",4,70,6,11.666666666666666
111,who,"[647, 708, 710]","{647: 14, 708: 27, 710: 5}",3,46,3,15.333333333333334
112,had,"[648, 650, 711]","{648: 5, 650: 12, 711: 21}",3,38,3,12.666666666666666
113,very,"[649, 651, 655, 657, 712]","{649: 1, 651: 23, 655: 5, 657: 25, 712: 13}",5,67,4,16.75
114,mild,"[652, 654, 656, 713]","{652: 1, 654: 4, 656: 4, 713: 7}",4,16,4,4.0
115,heart,"[548, 653, 658, 714]","{548: 4, 653: 40, 658: 6, 714: 33}",4,83,5,16.6
116,attacks,"[547, 549, 659, 715]","{547: 5, 549: 62, 659: 7, 715: 10}",4,84,7,12.0
117,but,"[550, 662, 669]","{550: 4, 662: 5, 669: 3}",3,12,3,4.0
118,not,"[551, 661, 663, 665]","{551: 6, 661: 4, 663: 35, 665: 4}",4,49,3,16.333333333333332
119,those,"[552, 561, 664, 666, 668, 723]","{552: 37, 561: 1, 664: 1, 666: 13, 668: 3, 723: 20}",6,75,5,15.0
120,with,"[476, 478, 553, 555, 557, 667, 724, 726]","{476: 2, 478: 19, 553: 5, 555: 3, 557: 18, 667: 24, 724: 2, 726: 9}",8,82,4,20.5
121,more,"[477, 479, 554, 556, 560, 725, 727]","{477: 2, 479: 25, 554: 5, 556: 11, 560: 1, 725: 1, 727: 12}",7,57,4,14.25
122,severe,"[502, 504, 572, 738, 833]","{502: 2, 504: 50, 572: 42, 738: 19, 833: 36}",5,149,6,24.833333333333332
123,heart,"[501, 503, 506, 571, 573, 575, 737, 832]","{501: 1, 503: 3, 506: 1, 571: 4, 573: 1, 575: 15, 737: 8, 832: 2}",8,35,5,7.0
124,damage.,"[500, 505, 507, 570, 574, 576, 588, 736]","{500: 8, 505: 1, 507: 18, 570: 1, 574: 31, 576: 21, 588: 4, 736: 3}",8,87,7,12.428571428571429
125,During,"[508, 569, 577, 587, 589, 617, 735]","{508: 13, 569: 7, 577: 1, 587: 4, 589: 30, 617: 4, 735: 5}",7,64,6,10.666666666666666
126,an,"[509, 568, 618, 734, 831]","{509: 1, 568: 1, 618: 2, 734: 1, 831: 1}",5,6,2,3.0
127,average,"[510, 567, 578, 586, 590, 616, 619, 733]","{510: 2, 567: 8, 578: 2, 586: 6, 590: 1, 616: 34, 619: 25, 733: 10}",8,88,7,12.571428571428571
128,of,"[585, 591, 615, 620, 830]","{585: 1, 591: 1, 615: 5, 620: 9, 830: 1}",5,17,2,8.5
129,10,"[566, 580, 582, 584, 614]","{566: 1, 580: 1, 582: 3, 584: 1, 614: 2}",5,8,2,4.0
130,years,"[565, 579, 581, 583, 593, 621]","{565: 1, 579: 1, 581: 1, 583: 2, 593: 10, 621: 4}",6,19,5,3.8
131,of,"[592, 594, 622]","{592: 2, 594: 1, 622: 4}",3,7,2,3.5
132,follow,"[564, 595, 623]","{564: 1, 595: 2, 623: 17}",3,20,6,3.3333333333333335
133,"up,","[56, 624]","{56: 3, 624: 1}",2,4,3,1.3333333333333333
134,the,"[57, 596, 625]","{57: 9, 596: 1, 625: 1}",3,11,3,3.6666666666666665
135,death,"[626, 829]","{626: 5, 829: 1}",2,6,5,1.2
136,rate,"[597, 627]","{597: 1, 627: 10}",2,11,4,2.75
137,among,"[72, 628, 732, 828]","{72: 20, 628: 15, 732: 1, 828: 21}",4,57,5,11.4
138,surgery,"[71, 73, 629]","{71: 9, 73: 2, 629: 17}",3,28,7,4.0
139,patients,"[70, 74, 731]","{70: 5, 74: 2, 731: 1}",3,8,8,1.0
140,who,"[67, 69, 75, 598, 693, 776]","{67: 18, 69: 37, 75: 2, 598: 1, 693: 15, 776: 2}",6,75,3,25.0
141,had,"[68, 692, 777]","{68: 3, 692: 4, 777: 2}",3,9,3,3.0
142,sustained,"[599, 691, 778, 827]","{599: 1, 691: 8, 778: 46, 827: 1}",4,56,9,6.222222222222222
143,minimal,"[601, 690, 779, 783]","{601: 3, 690: 23, 779: 66, 783: 9}",4,101,7,14.428571428571429
144,heart,"[600, 602, 689, 780, 782, 784, 826]","{600: 5, 602: 2, 689: 5, 780: 27, 782: 1, 784: 25, 826: 1}",7,66,5,13.2
